 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=3x10^16 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of        3264 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
   35   79  114      824.420        5.100        4.400         4.90         0.09         13.0        1.010             
   35   80  115      825.055        5.100        4.400         4.92         0.09         24.4        0.635        1.645
   35   81  116      825.990        5.200        4.400         4.96         0.10         59.4        0.935        1.570
   35   82  117      826.960        5.200        4.400         4.99         0.11         60.0        0.970        1.905
   35   83  118      827.795        5.200        4.500         5.02         0.11         51.2        0.835        1.805
   35   84  119      828.670        5.300        4.500         5.05         0.12         46.8        0.875        1.710
   35   85  120      829.680        5.300        4.500         5.08         0.12         46.8        1.010        1.885
   35   86  121      830.350        5.300        4.500         5.11         0.13         44.3        0.670        1.680
   35   87  122      831.075        5.400        4.500         5.14         0.12         52.4        0.725        1.395
   35   88  123      831.710        5.400        4.500         5.17         0.13         52.3        0.635        1.360
   35   89  124      831.895        5.500        4.500         5.19         0.13         59.9        0.185        0.820
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  36   Kr
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   36   45   81      706.260        4.200        4.100         4.16         0.09          0.1                          
   36   46   82      715.675        4.200        4.100         4.17         0.10          0.1        9.415             
   36   47   83      725.140        4.200        4.100         4.18         0.08          0.1        9.465       18.880
   36   48   84      733.595        4.300        4.100         4.20         0.08          0.1        8.455       17.920
   36   49   85      741.980        4.300        4.100         4.20         0.01         48.2        8.385       16.840
   36   50   86      750.210        4.300        4.100         4.22         0.00         57.8        8.230       16.615
   36   51   87      755.905        4.300        4.100         4.24         0.04         36.9        5.695       13.925
   36   52   88      761.560        4.400        4.100         4.27         0.06         30.7        5.655       11.350
   36   53   89      766.890        4.400        4.100         4.29         0.07         20.1        5.330       10.985
   36   54   90      772.075        4.400        4.200         4.32         0.08         20.2        5.185       10.515
   36   78  114      844.295        5.000        4.400         4.86         0.08          2.1                          
   36   79  115      845.705        5.100        4.400         4.88         0.07          8.6        1.410             
   36   80  116      846.725        5.100        4.400         4.90         0.07         16.4        1.020        2.430
   36   81  117      847.650        5.100        4.500         4.92         0.07         59.3        0.925        1.945
   36   82  118      848.750        5.200        4.500         4.95         0.08         60.0        1.100        2.025
   36   83  119      849.740        5.200        4.500         4.98         0.09         46.7        0.990        2.090
   36   84  120      850.735        5.200        4.500         5.01         0.10         43.9        0.995        1.985
   36   85  121      851.970        5.300        4.500         5.04         0.10         45.6        1.235        2.230
   36   86  122      852.730        5.300        4.500         5.07         0.11         42.5        0.760        1.995
   36   87  123      853.670        5.300        4.500         5.10         0.11         52.1        0.940        1.700
