 =======================================================================================================================
 Table: Nuclear properties of UNEDF1 model for B=5x10^14 G predicted by Skyrme3D code
 Authors: Wei jiang, Yan-jun Chen and Yu Guo
 Article: Symmetry energy effects on the outer crusts of non-accreting magnetars.   doi:???
 =======================================================================================================================
 
 --------------------------------------------------------------------------------------------------------------------
 Note:
 This is a highly detailed table predicting the properties of        3272 nuclides (Z = 26~124, N/A = 0.53~0.73)
 within the neutron drip line, including superheavy nuclei.
 --------------------------------------------------------------------------------------------------------------------
 
-------------------------------------------------------------------
         Table: Explanation of Symbols       
-------------------------------------------------------------------
 Symbol      |     unit          Description          
-------------------------------------------------------------------
      Z      |                 Proton number
      N      |                Neutron number
      A      |                   Mass number
      BE     |     MeV        Binding energy
      Rn     |     fm        The root mean-square radii of neutron
      Rp     |     fm        The root mean-square radii of proton
      Rt     |     fm  The root mean-square radii of total mass distribution
     beta    |                 Deformation parameter
    gamma    |     Degree       Triaxiality
     S1n     |     MeV      One-neutron separation energy
     S2n     |     MeV      two-neutron separation energy
-------------------------------------------------------------------
 
 
 -------------------------------------------------------------------------------------------------------------------
 
  Z=  26   Fe
 
 -------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
   35   87  122      830.525        5.400        4.500         5.14         0.13         49.0        0.730        1.445
   35   88  123      831.100        5.400        4.500         5.17         0.13         48.5        0.575        1.305
   35   89  124      831.455        5.500        4.500         5.20         0.13         59.7        0.355        0.930
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  36   Kr
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   36   45   81      705.950        4.200        4.100         4.15         0.09          0.6                          
   36   46   82      715.340        4.200        4.100         4.17         0.10          0.5        9.390             
   36   47   83      724.750        4.200        4.100         4.18         0.08          0.4        9.410       18.800
   36   48   84      733.310        4.300        4.100         4.20         0.08          1.7        8.560       17.970
   36   49   85      742.000        4.300        4.100         4.20         0.02         56.2        8.690       17.250
   36   50   86      750.130        4.300        4.100         4.22         0.01         60.0        8.130       16.820
   36   51   87      755.895        4.300        4.100         4.24         0.04         37.6        5.765       13.895
   36   52   88      761.530        4.400        4.100         4.27         0.07         28.4        5.635       11.400
   36   53   89      766.920        4.400        4.200         4.30         0.08         28.2        5.390       11.025
   36   54   90      771.860        4.400        4.200         4.33         0.10         25.7        4.940       10.330
   36   78  114      844.285        5.000        4.400         4.86         0.08          6.2                          
   36   79  115      845.525        5.100        4.400         4.88         0.08         17.6        1.240             
   36   80  116      846.545        5.100        4.400         4.90         0.08         25.3        1.020        2.260
   36   81  117      847.485        5.100        4.500         4.93         0.08         59.8        0.940        1.960
   36   82  118      848.540        5.200        4.500         4.96         0.09         60.0        1.055        1.995
   36   83  119      849.500        5.200        4.500         4.99         0.09         48.0        0.960        2.015
   36   84  120      850.360        5.200        4.500         5.02         0.11         43.1        0.860        1.820
   36   85  121      851.560        5.300        4.500         5.05         0.11         43.5        1.200        2.060
   36   86  122      852.340        5.300        4.500         5.08         0.12         40.7        0.780        1.980
   36   87  123      853.300        5.300        4.500         5.11         0.11         49.1        0.960        1.740
   36   88  124      853.980        5.400        4.500         5.14         0.12         47.5        0.680        1.640
   36   89  125      854.510        5.400        4.500         5.17         0.12         59.5        0.530        1.210
   36   90  126      855.015        5.500        4.500         5.20         0.13         58.8        0.505        1.035
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  37   Rb
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   37   45   82      713.360        4.200        4.100         4.16         0.08          0.7                          
   37   46   83      723.315        4.200        4.100         4.18         0.09          0.5        9.955             
   37   47   84      733.290        4.200        4.100         4.19         0.07          0.9        9.975       19.930
   37   48   85      742.430        4.300        4.100         4.21         0.07          1.3        9.140       19.115
   37   49   86      751.960        4.300        4.100         4.21         0.00         56.5        9.530       18.670
   37   50   87      760.570        4.300        4.100         4.23         0.01         60.0        8.610       18.140
   37   51   88      766.690        4.300        4.200         4.25         0.03         36.5        6.120       14.730
   37   52   89      772.655        4.400        4.200         4.28         0.06         28.3        5.965       12.085
   37   53   90      778.455        4.400        4.200         4.30         0.07         27.4        5.800       11.765
   37   54   91      783.740        4.400        4.200         4.33         0.09         25.2        5.285       11.085
   37   78  115      864.800        5.000        4.400         4.85         0.07          5.3                          
   37   79  116      866.485        5.000        4.500         4.87         0.07         16.3        1.685             
   37   80  117      867.920        5.100        4.500         4.88         0.06         20.9        1.435        3.120
   37   81  118      869.275        5.100        4.500         4.90         0.06         59.8        1.355        2.790
   37   82  119      870.460        5.100        4.500         4.92         0.06         60.0        1.185        2.540
   37   83  120      871.500        5.200        4.500         4.95         0.07         45.7        1.040        2.225
   37   84  121      872.435        5.200        4.500         4.98         0.09         39.3        0.935        1.975
   37   85  122      873.665        5.200        4.500         5.02         0.09         41.3        1.230        2.165
   37   86  123      874.565        5.300        4.500         5.05         0.10         38.2        0.900        2.130
   37   87  124      875.615        5.300        4.500         5.08         0.10         47.7        1.050        1.950
   37   88  125      876.600        5.300        4.500         5.11         0.11         46.5        0.985        2.035
   37   89  126      877.295        5.400        4.500         5.14         0.11         59.4        0.695        1.680
   37   90  127      877.825        5.400        4.500         5.17         0.12         58.9        0.530        1.225
 ------------------------------------------------------------------------------------------------------------------
 
  Z=  38   Sr
 
 ------------------------------------------------------------------------------------------------------------------
   Z    N    A           BE           Rn           Rp           Rt         beta        gamma          S1n          S2n
 ------------------------------------------------------------------------------------------------------------------
   38   45   83      720.085        4.200        4.100         4.18         0.08          0.8                          
   38   46   84      730.520        4.200        4.200         4.19         0.09          0.5       10.435             
   38   47   85      741.100        4.200        4.200         4.20         0.07          0.4       10.580       21.015
